OBJECTID,tripID,source,Choice,Options,turnsPerkm,turnsLeftPerkm,turnsRightPerkm,perc_Detour,signalsPerkm,percCycleWay,percBikeLane,percSharrow,percFootway,percPrimary,percSecondary,percResidential,FlickrPerkm,PSOverlap,WorkoutType,percImpervious,percRoadRR,percBareGround,percBldg,percGrass,percTree,percWetland,percInlandWater,percCropland,percOcean,percBeach,percAADTgt5k,percAADTgt10k,percSlowdownLT2,percSlowdownLT4
1,1301395336,EndomondoTrip,1,4,0.677966177,0.474576324,0.203389853,4.110735416,2.71186471,0,0,0,0,55.96457672,10.16521072,7.467325211,332.8813782,-0.71702373,1 commute,35.20724869,23.51706886,2.16907239,18.18347931,8.91860199,5.382432461,0.021011271,0.628973722,0,5.972112179,0,51.90499496,27.84151077,64.59617615,87.83477783
2,1301395336,GoogleTrip,0,4,0.808988094,0.311149269,0.497838825,13.42394543,1.804665804,0,0,0,0.196358502,47.41900635,2.665477276,14.03884697,172.687851,0.038428891,1 commute,27.03104782,20.56497383,0.574302614,17.6299305,14.86858845,8.645044327,0,0.332530797,0,10.35358143,0,48.07493973,34.60248566,60.0510788,83.85462189
3,1301395336,MapQuestTrip,0,4,0.338689476,0.270951599,0.0677379,4.200985432,2.844991684,0,0,0,0.033015773,63.15708923,0.78904146,9.1478405,338.0121155,-0.592959583,1 commute,35.51328278,24.34087753,1.561450958,18.32827759,8.671834946,5.035117626,0.021100689,0.530531585,0,5.997528076,0,56.91879654,41.0042305,60.69155121,79.45301056
4,1301395336,ShortestPath,0,4,0.35291779,0.35291779,0,0,3.035092831,0,0,0,0,85.88388824,0,13.84230709,381.7864685,-0.484226674,1 commute,33.97271729,24.6226635,1.424011111,17.77419853,9.419225693,5.907250881,0.021829357,0.653463185,0,6.204640388,0,44.13923264,43.99088669,46.58756638,74.36075592
9,1302195892,EndomondoTrip,1,4,0.989178896,0.769361377,0.219817534,6.934113503,1.758540273,0,0,0,0,68.96144867,0,29.90497398,124.086998,-0.618198454,1 commute,31.7286644,20.88825989,0.780541182,15.74869728,11.90469837,8.155877113,0.034245968,1.025155187,0,9.733860016,0,34.23106766,32.97359085,82.00015259,95.80393219
10,1302195892,GoogleTrip,0,4,0.449225128,0.336918831,0.112306282,4.651287079,1.909206748,0,0,0,0,62.10951614,0.696500361,11.35249615,112.8678131,-0.666760683,1 commute,33.34134674,20.86720657,1.163170457,16.36105537,11.00203228,6.423295975,0.034931406,0.878275394,0,9.928685188,0,57.11712265,30.96753883,77.46253204,88.73603058
11,1302195892,MapQuestTrip,0,4,0.337103993,0.337103993,0,4.593806744,2.134991884,0,0,0,0,66.35005188,1.355447292,5.028060913,129.8973999,-0.856236577,1 commute,33.79971695,21.26664734,1.152237296,17.04117393,10.05042171,5.882379532,0.034820359,0.875483274,0,9.897121429,0,61.48109818,35.31714249,77.05618286,89.52239227
12,1302195892,ShortestPath,0,4,0.470119864,0.352589905,0.117529966,0,1.998009443,0,0,0,0,73.16822052,0,22.12425613,196.2750397,-0.173987806,1 commute,33.34247589,21.67682076,1.084077477,14.89093018,11.12361908,6.696022987,0.036419705,1.075090766,0,10.07454205,0,76.98960876,74.11280823,61.06378555,79.11995697
13,1303953266,EndomondoTrip,1,4,1.640103221,0.937201858,0.702901363,48.74269104,0.468600929,0,0,0,0,0,13.51677418,51.34027481,172.2108307,-0.214485437,1 commute,18.01551056,9.792446136,0.120607585,17.88847733,15.2148447,38.67944717,0,0.288667321,0,0,0,14.50790119,13.59679794,74.04439545,82.65234375
14,1303953266,GoogleTrip,0,4,1.075539589,0.614594042,0.460945517,13.40976429,1.38283658,0,0,0,0,18.20381355,30.70298958,19.45125961,144.5832367,-0.423777997,1 commute,23.37199783,16.68971062,0.352810562,18.56886864,19.61776543,21.34231567,0,0.056531422,0,0,0,40.67480469,40.55235672,46.7886467,75.14214325
15,1303953266,MapQuestTrip,0,4,0.971390486,0.161898419,0.809492111,7.630702972,2.590374708,0,0,0,0,0.895537138,20.14639473,31.45222282,343.8722534,-0.101526089,1 commute,26.07522774,16.42108345,0.359438688,25.82758713,14.86178207,16.40093422,0,0.053948302,0,0,0,44.12724686,23.715868,69.31734467,80.32952881
16,1303953266,ShortestPath,0,4,4.530562401,2.091028929,2.43953371,0,0.697009623,0,0,0,0,0.320055515,0.931321383,72.74721527,117.6203766,-0.212516516,1 commute,26.9775219,14.93448639,0.487756938,25.37388802,15.84332848,16.32476807,0,0.058250111,0,0,0,7.472940922,3.504463673,91.57218933,94.66653442
21,1304518368,EndomondoTrip,1,4,3.136887312,1.372388124,1.764499068,24.20235634,1.9605546,9.444849014,0,0,1.450909853,37.28802109,0,45.61892319,164.0984192,-0.218993887,1 commute,34.20194244,11.97578907,0.935424268,21.94395256,17.12298012,6.790865898,0,0.27669692,0,1.786738992,4.96560955,38.43839645,27.34996605,63.53301239,77.46891022
22,1304518368,GoogleTrip,0,4,1.117334485,0.446933806,0.670400679,8.967143059,2.23466897,10.6895237,0,0,17.56569672,49.24422073,0,22.50056076,136.3148041,-0.344410419,1 commute,34.54357147,13.85232735,0.700632453,19.33515167,9.060390472,5.239242554,0,0.47033605,0,3.341068983,13.45728016,50.90459061,36.31176758,79.63352966,88.00120544
23,1304518368,MapQuestTrip,0,4,1.989823937,0.884366214,1.105457783,10.13785648,1.105457783,10.57799435,0,0,40.36800766,16.33656693,0,31.13743401,97.28028107,-0.536796033,1 commute,28.25419998,7.510790825,1.144187212,17.34384537,20.74697685,4.948631763,0.039239466,0.60910356,0,3.468233824,15.93479156,17.36508179,0.968835056,62.99615097,66.23323059
24,1304518368,ShortestPath,0,4,2.435055017,1.217527509,1.217527509,0,1.461032987,11.63988018,0,0,4.409342289,25.71605492,0,58.23472214,55.76275635,-0.370143175,1 commute,34.47518921,12.57009697,1.106083512,21.55895805,14.82093811,6.285531998,0,0.280388296,0,2.744904757,6.157907009,18.38768768,3.050011158,72.27133179,80.02189636
29,1307641304,EndomondoTrip,1,4,1.836647034,0.955056429,0.881590545,15.07078838,2.057044744,0,0,0,0,43.06248474,18.97486115,33.24544525,108.5091019,-0.199856058,1 commute,28.99530411,19.5772419,0.431996793,21.90214729,16.43867683,9.996624947,0.02664819,0.389359683,0,2.242001057,0,42.99213409,33.6595459,74.49255371,91.43102264
30,1307641304,GoogleTrip,0,4,1.258437634,0.786523521,0.471914113,7.482825756,1.651699305,0,0,0,23.37288475,28.4557209,27.08644295,21.0849514,875.8725586,-0.537083983,1 commute,25.7938385,15.22545052,4.088611126,18.4324398,14.12018108,12.13961697,0,0.225545838,0,2.079576969,7.894736767,35.87679672,25.00451088,98.8142395,110.2948761
31,1307641304,MapQuestTrip,0,4,1.380248666,0.460082918,0.920165837,10.24678421,1.303568244,13.90797901,0,0,51.58650589,23.01662064,0,6.615539074,1162.092773,-0.283970356,1 commute,24.54855347,9.301383972,4.51897192,14.77789688,7.949304581,6.810531616,0,0.276207834,0,2.195338488,29.62181091,22.62876701,16.86544991,86.64347839,91.5982666
32,1307641304,ShortestPath,0,4,0.845377684,0.59176439,0.253613293,0,4.734115124,0,0,0,0,50.08448792,38.74956894,6.979608536,1161.80249,-0.221973762,1 commute,32.7782402,24.29769135,0.129740342,27.67500496,6.296302795,4.79090786,0,0.169712573,0,3.86240077,0,83.40145111,77.95413208,56.04439545,95.00045013
33,1308582724,EndomondoTrip,1,4,1.951390028,0.780556023,1.170834064,23.39538193,1.170834064,0,0,0,1.455542326,16.78620338,3.310985327,76.68927002,171.3970947,-0.106799185,1 commute,27.82090378,16.23842812,0.407396048,23.41268921,17.29021263,12.69298267,0,0.242235482,0,1.895151854,0,12.29776764,9.162255287,82.66735077,88.88030243
34,1308582724,GoogleTrip,0,4,1.430562615,0.752927721,0.677634954,6.60276413,2.409368515,0,0,0,26.75899315,50.46858597,8.139466286,13.44306564,1026.315796,-0.578074217,1 commute,27.88817787,17.46404457,4.28102684,16.41575432,9.402201653,7.025973797,0,0.211779028,0,9.553991318,7.757050991,36.54940414,31.60072899,63.62870026,85.82360077
35,1308582724,MapQuestTrip,0,4,1.866399884,1.119839907,0.746559918,7.512029171,1.941055894,0.813139379,0,0,48.21999359,33.79233551,0,11.78974056,1113.195557,-0.481713563,1 commute,24.69177628,13.18394566,4.865645409,13.07680321,13.45225811,7.270690441,0.013430891,0.216725737,0,4.966682434,18.262043,15.0023737,10.02105141,72.2122879,81.42642975
36,1308582724,ShortestPath,0,4,0.722377539,0.240792528,0.481585056,0,4.013208866,0,0,0,2.312273026,39.66001511,33.42626953,19.40192032,977.2965698,-0.440904111,1 commute,28.08392525,21.67303467,0.39201206,21.23543167,11.74013519,4.918290615,0,0.214145824,0,11.74302483,0,50.11529541,46.28992844,62.34837723,81.67394257
77,1338639986,EndomondoTrip,1,4,1.330091596,0.483669668,0.846421897,4.217064381,2.660183191,0,0,0,82.0630188,0,0.050689295,1.601275206,30.35027122,-0.174730912,1 commute,32.96874619,26.96490288,0.391145617,8.765042305,15.71294785,13.13428402,0.130381867,1.932549119,0,0,0,25.38336754,25.38336754,27.40583992,55.54679489
78,1338639986,GoogleTrip,0,4,1.350784183,0.859589934,0.491194248,2.62056303,1.473582745,0,0,0,0.235986531,0,12.22724724,7.194571018,11.42026615,-0.158053324,1 commute,29.57194519,21.00837898,3.68993187,11.30378914,22.46777153,10.07054138,0.186900303,1.700743675,0,0,0,43.66181946,43.66181946,60.19369507,67.68219757
79,1338639986,MapQuestTrip,0,4,1.35887289,0.617669523,0.741203427,2.009712696,1.853008509,0,0,0,0,0,43.15951538,8.665155411,12.9710598,-0.496019363,1 commute,32.65998459,21.87130165,1.360668302,12.92215729,15.97194862,13.17614174,0.163240746,1.874556184,0,0,0,25.22489548,25.22489548,62.17441177,66.09708405
80,1338639986,ShortestPath,0,4,2.772364855,1.134149194,1.638215542,0,1.638215542,0,0,0,11.04496098,1.200365901,28.55981827,15.74120712,14.49190617,-0.567399442,1 commute,31.7514267,21.34002686,4.061823845,11.06591225,16.8481102,13.03552723,0.208207741,1.688964963,0,0,0,19.08777618,19.08777618,63.61190414,73.50198364
89,1345064724,EndomondoTrip,1,4,1.46113658,0.547926247,0.913210392,5.100294113,3.10491538,0,0,0,7.699743271,0,86.89047241,3.613779068,748.8325195,-0.061007995,1 commute,33.43572235,22.35447502,1.724200368,27.67703819,6.733799458,5.521063328,0,1.106241226,0,1.447458982,0,92.69480896,53.02048111,18.73934364,57.34489441
