OBJECTID,tripID,source,Choice,Options,turnsPerkm,turnsLeftPerkm,turnsRightPerkm,perc_Detour,signalsPerkm,percCycleWay,percBikeLane,percSharrow,percFootway,percPrimary,percSecondary,percResidential,FlickrPerkm,PSOverlap,WorkoutType,percIndustrial,percRoadRailroad,percPort,percUrbanFabric,percUrbanGreen,percCropland,percForest,percGrassShrub,percMarshland,percWaterbody,percBeach
1,1301593236,Endomondo,1,4,1.025241,0.717669,0.307572,14.35644,0.205048,50.66393,5.317011,0,0,0,0,5.263474,2.255531,-0.510042,1 commute,38.42764,0,2.613776,20.75646,4.735548,31.57032,0,0,0,1.896269,0
2,1301593236,Google,0,4,1.856044,0.824909,1.031136,13.70274,0.103114,44.38364,5.027579,0,0.132435,13.56278,3.340164,12.82807,2.268498,-0.470184,1 commute,40.12988,0,2.628595,19.72993,4.772704,30.83187,0,0,0,1.90702,0
3,1301593236,MapQuest,0,4,1.511805,1.079861,0.431944,8.572256,0.431944,57.44049,1.617215,0,0.474831,0.369519,0,8.256413,2.159722,-0.539622,1 commute,38.2158,0,0,27.66489,0,32.06563,0,0,0,2.053678,0
4,1301593236,Shortest Path,0,4,3.048316,1.289672,1.758644,0,0.468972,10.14125,1.594077,0,2.004101,35.77583,0,3.093713,0.937944,-0.105257,1 commute,48.03205,0,0,31.59321,0,10.87674,0,0,0,9.497996,0
5,1301684976,Endomondo,1,4,3.664329,1.832164,1.832164,11.80124,0.785213,55.79549,2.833447,0,1.329684,0,2.230382,31.27581,1.832164,-0.006232,1 commute,0,0,0,56.47304,0,9.846314,33.68064,0,0,0,0
6,1301684976,Google,0,4,4.125135,1.650054,2.475081,6.406,0.275009,1.711237,15.89543,0,6.225958,0,76.3493,1.733636,0.825027,-0.213323,1 commute,0,0,0,91.47115,0,0,8.528844,0,0,0,0
7,1301684976,MapQuest,0,4,3.738317,1.602136,2.136181,9.588489,1.602136,55.06873,21.32287,0,4.258702,0.442961,10.98574,10.21444,2.403204,0.053521,1 commute,0,0,0,87.5134,0,0.696677,11.78992,0,0,0,0
8,1301684976,Shortest Path,0,4,4.389391,1.755756,2.633635,0,1.170504,10.53315,20.77804,0,1.811015,0,34.37748,22.74541,2.341008,-0.229803,1 commute,0,0,0,80.7592,0,1.390901,17.8499,0,0,0,0
21,1301868814,Endomondo,1,4,1.618185,0.943941,0.674244,10.96169,0.674244,30.83352,8.407026,0,5.218327,4.541285,11.90526,0,2.696975,-0.206775,1 commute,0.174146,0,0,57.11989,0,40.37508,0,0,0,2.330878,0
22,1301868814,Google,0,4,0.879622,0.146604,0.733019,2.06459,1.17283,18.96109,8.676563,0,0,39.09696,33.21095,0,2.345659,-0.142295,1 commute,0.523713,0,0,47.9197,0,49.46174,0,0,0,2.09485,0
