OBJECTID,tripID,source,Choice,Options,turnsPerkm,turnsLeftPerkm,turnsRightPerkm,perc_Detour,signalsPerkm,percCycleWay,percBikeLane,percSharrow,percFootway,percPrimary,percSecondary,percResidential,FlickrPerkm,PSOverlap,WorkoutType,percImpervious,percRoadRR,percBareGround,percBldg,percGrass,percTree,percWetland,percInlandWater,percCropland,percOcean,percBeach
1,1301395336,Endomondo,1,4,0.677966,0.474576,0.20339,4.110735,2.711865,0,0,0,0,55.96458,10.16521,7.467325,332.8814,-0.717024,1 commute,35.20725,23.51707,2.169072,18.18348,8.918602,5.382432,0.021011,0.628974,0,5.972112,0
2,1301395336,Google,0,4,0.808988,0.311149,0.497839,13.42395,1.804666,0,0,0,0.196358,47.41901,2.665477,14.03885,172.6879,0.038429,1 commute,27.03105,20.56497,0.574303,17.62993,14.86859,8.645044,0,0.332531,0,10.35358,0
3,1301395336,MapQuest,0,4,0.338689,0.270952,0.067738,4.200985,2.844992,0,0,0,0.033016,63.15709,0.789041,9.14784,338.0121,-0.59296,1 commute,35.51328,24.34088,1.561451,18.32828,8.671835,5.035118,0.021101,0.530532,0,5.997528,0
4,1301395336,Shortest Path,0,4,0.352918,0.352918,0,0,3.035093,0,0,0,0,85.88389,0,13.84231,381.7865,-0.484227,1 commute,33.97272,24.62266,1.424011,17.7742,9.419226,5.907251,0.021829,0.653463,0,6.20464,0
9,1302195892,Endomondo,1,4,0.989179,0.769361,0.219817,6.934114,1.75854,0,0,0,0,68.96145,0,29.90497,124.087,-0.618198,1 commute,31.72866,20.88826,0.780541,15.7487,11.9047,8.155877,0.034246,1.025155,0,9.73386,0
10,1302195892,Google,0,4,0.449225,0.336919,0.112306,4.651287,1.909207,0,0,0,0,62.10952,0.6965,11.3525,112.8678,-0.666761,1 commute,33.34135,20.86721,1.16317,16.36106,11.00203,6.423296,0.034931,0.878275,0,9.928685,0
11,1302195892,MapQuest,0,4,0.337104,0.337104,0,4.593807,2.134992,0,0,0,0,66.35005,1.355447,5.028061,129.8974,-0.856237,1 commute,33.79972,21.26665,1.152237,17.04117,10.05042,5.88238,0.03482,0.875483,0,9.897121,0
12,1302195892,Shortest Path,0,4,0.47012,0.35259,0.11753,0,1.998009,0,0,0,0,73.16822,0,22.12426,196.275,-0.173988,1 commute,33.34248,21.67682,1.084077,14.89093,11.12362,6.696023,0.03642,1.075091,0,10.07454,0
353,1303412278,Endomondo,1,4,2.427456,1.096271,1.331186,7.174098,0.548135,27.87284,0,0,25.38083,16.40162,0,26.18102,144.9426,-0.394778,1 commute,21.1657,10.54639,3.172001,7.423213,11.80885,10.98296,0,0.554189,0,4.852005,29.4947
354,1303412278,Google,0,4,1.130881,0.403886,0.726995,3.894038,1.050104,20.42418,0,13.72582,15.3558,34.409,0.787298,10.58218,162.6853,-0.581047,1 commute,24.32301,13.40434,2.762719,6.626184,11.94683,9.535043,0,0.834065,0,7.031551,23.53625
355,1303412278,MapQuest,0,4,0.655627,0.24586,0.409767,2.403015,1.229301,20.56854,0,14.30203,15.50812,49.01449,0.795107,10.80695,165.218,-0.711163,1 commute,24.15232,15.10008,2.990606,7.258398,12.85393,10.9905,0,0.435904,0,4.111549,22.10672
356,1303412278,Shortest Path,0,4,0.419614,0.335691,0.083923,0,2.517682,0,14.00038,23.77733,0,86.85527,0,9.86167,153.9982,-0.110443,1 commute,32.44223,20.46744,2.04892,14.95544,14.1891,12.30155,0,0.386683,0,3.204618,0.004017
13,1303953266,Endomondo,1,4,1.640103,0.937202,0.702901,48.74269,0.468601,0,0,0,0,0,13.51677,51.34027,172.2108,-0.214485,1 commute,18.01551,9.792446,0.120608,17.88848,15.21484,38.67945,0,0.288667,0,0,0
14,1303953266,Google,0,4,1.07554,0.614594,0.460946,13.40976,1.382837,0,0,0,0,18.20381,30.70299,19.45126,144.5832,-0.423778,1 commute,23.372,16.68971,0.352811,18.56887,19.61777,21.34232,0,0.056531,0,0,0
15,1303953266,MapQuest,0,4,0.971391,0.161898,0.809492,7.630703,2.590375,0,0,0,0,0.895537,20.14639,31.45222,343.8723,-0.101526,1 commute,26.07523,16.42108,0.359439,25.82759,14.86178,16.40093,0,0.053948,0,0,0
16,1303953266,Shortest Path,0,4,4.530562,2.091029,2.439534,0,0.69701,0,0,0,0,0.320055,0.931321,72.74722,117.6204,-0.212516,1 commute,26.97752,14.93449,0.487757,25.37389,15.84333,16.32477,0,0.05825,0,0,0
