OBJECTID,tripID,source,Choice,Options,turnsPerkm,turnsLeftPerkm,turnsRightPerkm,perc_Detour,signalsPerkm,percCycleWay,percBikeLane,percSharrow,percFootway,percPrimary,percSecondary,percResidential,FlickrPerkm,PSOverlap,WorkoutType,percImpervious,percRoadRailroad,percBareGround,percBldg,percGrass,percTree,percWetland,percInlandWater,percCropland,percOcean,percBeach
5,1301871442,Endomondo,1,4,3.234513,1.415099,1.819413,14.46428,1.617256,0,0,0,0.443113,0.270975,0,43.10769,345.2842,-0.269267,2 sport,24.75414,19.50055,0.709659,25.12894,12.26138,17.47586,0,0.169471,0,0,0
6,1301871442,Google,0,4,2.262649,0.90506,1.35759,2.268425,1.583855,0,0,0,0,4.283503,3.272617,41.10087,160.1956,-0.375173,2 sport,25.4297,20.17521,0.502784,20.85428,15.20494,17.646,0,0.187082,0,0,0
7,1301871442,MapQuest,0,4,0.884824,0.221206,0.663618,4.607267,2.875679,0,0,0,0,0,35.20242,9.578306,454.3572,-0.35738,2 sport,28.47949,19.87618,0.568366,24.28233,10.77446,15.83029,0,0.188872,0,0,0
8,1301871442,Shortest Path,0,4,3.239566,1.619783,1.619783,0,1.388386,0,0,0,0,2.151391,3.572546,31.61731,166.6063,-0.452601,2 sport,25.11591,18.2657,0.423924,19.72219,16.9145,19.36568,0,0.192105,0,0,0
349,1303837214,Endomondo,1,4,0.58523,0.250813,0.334417,3.857492,0.836043,61.37378,0,0,0,0,23.65392,14.97231,10.53414,-0.087194,2 sport,13.44488,9.251842,0.45091,6.061425,20.39077,47.5542,0.210603,0.701231,1.934142,0,0
350,1303837214,Google,0,4,0.77893,0.346191,0.432739,0.32535,0.865477,2.819878,0,0,0,0,83.50574,2.370834,3.202266,-0.994548,2 sport,14.08476,9.883785,0.465205,6.691496,21.09663,44.8862,0.195531,0.697979,1.998414,0,0
351,1303837214,MapQuest,0,4,0.173504,0.086752,0.086752,0.089392,0.867518,0,0,0,0,0,85.35007,0.986687,3.209815,-0.980862,2 sport,14.04262,9.838691,0.462415,6.694474,21.08849,44.99678,0.196103,0.676157,2.004261,0,0
352,1303837214,Shortest Path,0,4,0.434146,0.173659,0.260488,0,0.868293,9.091926,0,0,0,0,79.35794,0.102169,3.212684,-0.947311,2 sport,14.15485,9.863972,0.458034,6.711618,21.2606,44.80411,0.195856,0.699141,1.851826,0,0
17,1304506924,Endomondo,1,4,2.141043,0.951575,1.189468,12.96769,0.356841,17.60909,0,0,4.166831,0,0.297924,63.17762,19.38833,-0.100433,2 sport,12.02598,7.208228,0.196419,8.247191,20.63494,49.88076,0.148628,0.873609,0,0.784241,0
18,1304506924,Google,0,4,0.990613,0.37148,0.619133,8.515801,0.619133,0,0,0,4.302681,0,46.98783,15.37055,11.88736,-0.201139,2 sport,15.07256,8.301204,0.388022,9.926943,20.61906,44.22316,0.104296,0.56498,0,0.799771,0
19,1304506924,MapQuest,0,4,0.603335,0.241334,0.362001,11.35723,0.965336,0,0,0,4.10269,0,0.949037,16.54026,12.91137,-0.040423,2 sport,17.64174,9.512239,0.430122,12.5255,20.62373,37.93493,0.110177,0.445999,0,0.775567,0
20,1304506924,Shortest Path,0,4,2.015572,1.074972,0.9406,0,1.074972,4.962978,0,0,8.043698,0,19.50396,17.83489,23.78375,-0.16778,2 sport,15.17864,10.07953,0.480643,8.323443,20.6918,43.74117,0.104184,0.519309,0,0.881268,0
25,1304954994,Endomondo,1,4,3.838522,1.919261,1.919261,15.52513,0.54836,0,0,0,2.170242,0.210369,40.57971,57.03968,590.3099,-0.411441,2 sport,33.63102,16.19365,3.781586,26.94339,9.802977,9.647373,0,0,0,0,0
26,1304954994,Google,0,4,1.039974,0.259993,0.77998,21.82882,1.299967,0,0,0,0,0,1.201255,27.91489,1432.824,-0.065376,2 sport,34.45224,21.04999,2.432671,23.50625,12.54897,6.009887,0,0,0,0,0
27,1304954994,MapQuest,0,4,0.620322,0,0.620322,2.123451,2.171126,0,0,0,0,0,83.51774,16.48226,406.0006,-0.283352,2 sport,31.69554,22.73573,2.913247,28.31905,9.012098,5.324336,0,0,0,0,0
28,1304954994,Shortest Path,0,4,2.533976,1.266988,1.266988,0,0.950241,0,0,0,2.497607,4.31223,54.43445,34.4666,716.4817,-0.385273,2 sport,38.69573,17.89437,3.014472,26.42163,8.097333,5.876472,0,0,0,0,0
37,1309210562,Endomondo,1,4,1.652455,0.757375,0.89508,18.44961,0.826228,12.28411,0,0,47.99045,0,27.21489,1.389201,125.4489,-0.165383,2 sport,19.43838,9.064182,0.52027,12.65536,13.60422,39.28165,0.006131,2.594942,0,2.834873,0
38,1309210562,Google,0,4,0.756421,0.302568,0.453852,7.81734,0.983347,0,0,0,0,0,68.30371,9.663319,155.747,-0.707025,2 sport,17.87973,9.42342,0.20508,13.86874,13.08013,43.90891,0,1.54822,0,0.085777,0
